Name,Meta Critic,Cost,Class,Country,Whiskey Type
Glenmorangie Duthac,8.53,$$$$,SingleMalt-like,Scotland,Malt
Macallan Whisky Maker's Edition,8.53,$$$$,SingleMalt-like,Scotland,Malt
Talisker Port Ruighe,8.53,$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Midvinter,8.52,$$$,SingleMalt-like,Sweden,Malt
Penderyn Portwood,8.52,$$$,SingleMalt-like,Wales,Malt
Redbreast All Sherry Single Cask 1999,8.52,$$$$$,SingleMalt-like,Ireland,Malt
Tyrconnell 10yo Port Cask Finish,8.52,$$$$,SingleMalt-like,Ireland,Malt
Amrut PX Sherry Single Cask 2701,8.51,$$$$,SingleMalt-like,India,Malt
Glenfiddich 19yo Age of Discovery (Madeira Cask),8.51,$$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie The Tayne,8.51,$$$$,SingleMalt-like,Scotland,Malt
Glengoyne 15yo,8.5,$$$$,SingleMalt-like,Scotland,Malt
Jura 18yo,8.5,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan Sherry Oak,8.49,$$$$$,SingleMalt-like,Taiwan,Malt
Glen Garioch 1999 Sherry Cask Matured,8.48,$$$$,SingleMalt-like,Scotland,Malt
Glen Moray Classic Sherry Cask finish,8.48,$$,SingleMalt-like,Scotland,Malt
Glenmorangie Dornoch,8.48,$$$$,SingleMalt-like,Scotland,Malt
Jura 16yo Diurach's Own,8.48,$$$$,SingleMalt-like,Scotland,Malt
Smogen Primör,8.48,$$$$$,SingleMalt-like,Sweden,Malt
Aberfeldy 16yo,8.47,$$$$,SingleMalt-like,Scotland,Malt
Bushmills 16yo Single Malt,8.47,$$$$,SingleMalt-like,Ireland,Malt
Glengoyne Cask Strength (batch 3),8.47,$$$$,SingleMalt-like,Scotland,Malt
Glenglassaugh 26yo,8.46,$$$$$+,SingleMalt-like,Scotland,Malt
Green Spot Chateau Montelena,8.46,$$$$,SingleMalt-like,Ireland,Blend
Ledaig 1996,8.46,$$$$$,SingleMalt-like,Scotland,Malt
